County_FIPS,Year,Population
42127,2000,51163
42127,2001,51163
42127,2002,51163
42127,2003,51163
42127,2004,51163
42127,2005,51163
42127,2006,51163
42127,2007,51163
42127,2008,51163
42127,2009,51163
42127,2010,51163
42127,2011,51163
42127,2012,51163
42127,2013,51163
42127,2014,51163
42127,2015,51163
42127,2016,51163
42127,2017,51163
42127,2018,51163
42127,2019,51163
42127,2020,51163
42127,2021,51163
42127,2022,51163
42127,2023,51163
42127,2024,51163
42127,2025,51163
42127,2026,51163
42127,2027,51163
42127,2028,51163
42127,2029,51163
42127,2030,51163
42127,2031,51163
42127,2032,51163
42127,2033,51163
42127,2034,51163
42127,2035,51163
42127,2036,51163
42127,2037,51163
42127,2038,51163
42127,2039,51163
42127,2040,51163
42127,2041,51163
42127,2042,51163
42127,2043,51163
42127,2044,51163
42127,2045,51163
42127,2046,51163
42127,2047,51163
42127,2048,51163
42127,2049,51163
42127,2050,51163
42127,2051,51163
42127,2052,51163
42127,2053,51163
42127,2054,51163
42127,2055,51163
42127,2056,51163
42127,2057,51163
42127,2058,51163
42127,2059,51163
42127,2060,51163
42127,2061,51163
42127,2062,51163
42127,2063,51163
42127,2064,51163
42127,2065,51163
42127,2066,51163
42127,2067,51163
42127,2068,51163
42127,2069,51163
42127,2070,51163
42127,2071,51163
42127,2072,51163
42127,2073,51163
42127,2074,51163
42127,2075,51163
42127,2076,51163
42127,2077,51163
42127,2078,51163
42127,2079,51163
42127,2080,51163
42127,2081,51163
42127,2082,51163
42127,2083,51163
42127,2084,51163
42127,2085,51163
42127,2086,51163
42127,2087,51163
42127,2088,51163
42127,2089,51163
42127,2090,51163
42127,2091,51163
42127,2092,51163
42127,2093,51163
42127,2094,51163
42127,2095,51163
42127,2096,51163
42127,2097,51163
42127,2098,51163
42127,2099,51163
42129,2000,347087
42129,2001,347087
42129,2002,347087
42129,2003,347087
42129,2004,347087
42129,2005,347087
42129,2006,347087
42129,2007,347087
42129,2008,347087
42129,2009,347087
42129,2010,347087
42129,2011,347087
42129,2012,347087
42129,2013,347087
42129,2014,347087
42129,2015,347087
42129,2016,347087
42129,2017,347087
42129,2018,347087
42129,2019,347087
42129,2020,347087
42129,2021,347087
42129,2022,347087
42129,2023,347087
42129,2024,347087
42129,2025,347087
42129,2026,347087
42129,2027,347087
42129,2028,347087
42129,2029,347087
42129,2030,347087
42129,2031,347087
42129,2032,347087
42129,2033,347087
42129,2034,347087
42129,2035,347087
42129,2036,347087
42129,2037,347087
42129,2038,347087
42129,2039,347087
42129,2040,347087
42129,2041,347087
42129,2042,347087
42129,2043,347087
42129,2044,347087
42129,2045,347087
42129,2046,347087
42129,2047,347087
42129,2048,347087
42129,2049,347087
42129,2050,347087
42129,2051,347087
42129,2052,347087
42129,2053,347087
42129,2054,347087
42129,2055,347087
42129,2056,347087
42129,2057,347087
42129,2058,347087
42129,2059,347087
42129,2060,347087
42129,2061,347087
42129,2062,347087
42129,2063,347087
42129,2064,347087
42129,2065,347087
42129,2066,347087
42129,2067,347087
42129,2068,347087
42129,2069,347087
42129,2070,347087
42129,2071,347087
42129,2072,347087
42129,2073,347087
42129,2074,347087
42129,2075,347087
42129,2076,347087
42129,2077,347087
42129,2078,347087
42129,2079,347087
42129,2080,347087
42129,2081,347087
42129,2082,347087
42129,2083,347087
42129,2084,347087
42129,2085,347087
42129,2086,347087
42129,2087,347087
42129,2088,347087
42129,2089,347087
42129,2090,347087
42129,2091,347087
42129,2092,347087
42129,2093,347087
42129,2094,347087
42129,2095,347087
42129,2096,347087
42129,2097,347087
42129,2098,347087
42129,2099,347087
42131,2000,26557
42131,2001,26557
42131,2002,26557
42131,2003,26557
42131,2004,26557
42131,2005,26557
42131,2006,26557
42131,2007,26557
42131,2008,26557
42131,2009,26557
42131,2010,26557
42131,2011,26557
42131,2012,26557
42131,2013,26557
42131,2014,26557
42131,2015,26557
42131,2016,26557
42131,2017,26557
42131,2018,26557
42131,2019,26557
42131,2020,26557
42131,2021,26557
42131,2022,26557
42131,2023,26557
42131,2024,26557
42131,2025,26557
42131,2026,26557
42131,2027,26557
42131,2028,26557
42131,2029,26557
42131,2030,26557
42131,2031,26557
42131,2032,26557
42131,2033,26557
42131,2034,26557
42131,2035,26557
42131,2036,26557
42131,2037,26557
42131,2038,26557
42131,2039,26557
42131,2040,26557
42131,2041,26557
42131,2042,26557
42131,2043,26557
42131,2044,26557
42131,2045,26557
42131,2046,26557
42131,2047,26557
42131,2048,26557
42131,2049,26557
42131,2050,26557
42131,2051,26557
42131,2052,26557
